id	area	layer	status	lean_surface	js_surface	tests	notes	next
core.interface.scalars	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Nat Int Bool String Float Float32 UInt8 UInt16 UInt32 UInt64 USize ByteArray Unit supported	none
core.interface.containers	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Array List Option Prod Sum Except over supported types supported	none
core.interface.structures	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Non-indexed structures including inherited fields supported	none
core.interface.inductives	core	interface	partial	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Custom inductives and simple recursive inductives supported; mutual non-uniform and inherited recursive structures limited	improve recursive and rectype coverage
core.interface.resources	core	interface	supported	Vir.Host	vir-runtime;vir-host-bindings	test:runtime	Opaque resource handles cross boundary by host-owned handles	none
core.interface.callbacks	core	interface	supported	Vir.Host;Vir.Browser;Vir.React	vir-runtime;vir-host-bindings	test:runtime;test:upstream	Lean closures retained by JS and released on remove cancel rerender unmount package reload or runtime dispose	closure release optimization
core.interface.expr	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Lean.Expr and Level structural wire representation supported	none
browser.document.query	browser	dom	supported	Vir.Browser.Document	vir-host-bindings	test:runtime;test:upstream	querySelector getTitle setTitle supported	none
browser.element.text_attr	browser	dom	supported	Vir.Browser.Element	vir-host-bindings	test:runtime;test:upstream	getTextContent setTextContent getAttribute setAttribute supported	none
browser.element.lifecycle	browser	dom	missing	none	none	none	createElement append remove replace classList not exposed	add blessed DOM mutation API
browser.events	browser	dom	supported	Vir.Browser.Event;Vir.Browser.Element	vir-host-bindings	test:runtime;test:upstream	addEventListener removeEventListener target currentTarget preventDefault stopPropagation supported	none
browser.inputs	browser	dom	supported	Vir.Browser.HTMLInputElement;Vir.Browser.Event	vir-host-bindings	test:runtime;test:upstream	fromElement getValue setValue getChecked setChecked inputValue? formValue? inputChecked? supported	none
browser.timers	browser	dom	supported	Vir.Browser.Timer	vir-host-bindings	test:runtime;test:upstream	setTimeout clearTimeout setInterval clearInterval supported including retained callback cleanup	none
